,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,50.0,0.0,50.0,0.0,0.0,,,,0.1089976293162295
2-3,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.4743277579545975,1.5595779418945312,23.1,0.1061359010271069
2-5,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.0,50.0,,,,0.1079791716406609
2-7,16.666666666666664,0.0,16.666666666666664,0.0,50.0,0.0,16.666666666666664,0.7014331221580505,0.68499755859375,24.7,0.1133940405568859
2-9,33.33333333333333,0.0,33.33333333333333,16.666666666666664,16.666666666666664,0.0,0.0,0.5105259567499161,1.0113601684570312,24.46666666666667,0.1100892810105751
2-11,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.3558851480484009,0.1105499267578125,21.5,0.1065859024042196
2-13,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.3899805347124735,0.6537272135416666,20.466666666666665,0.1065309874142093
2-15,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.4424712757269541,1.93231201171875,24.64444444444445,0.1075692139100671
3-1,0.0,16.666666666666664,0.0,0.0,50.0,33.33333333333333,0.0,,,,0.106591258070735
3-3,16.666666666666664,0.0,0.0,0.0,50.0,0.0,33.33333333333333,0.5665891766548157,5.266085624694824,23.466666666666665,0.1058015913333532
3-5,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.3900897651910782,1.0192783772945404,23.333333333333336,0.1055493801474284
3-7,33.33333333333333,0.0,16.666666666666664,0.0,16.666666666666664,0.0,33.33333333333333,0.1716527417302131,0.8152056038379669,22.416666666666664,0.1102783911155931
3-9,16.666666666666664,0.0,0.0,0.0,50.0,0.0,33.33333333333333,0.2077995538711547,0.2324579805135727,24.5,0.111001042571055
3-11,0.0,0.0,0.0,0.0,50.0,0.0,50.0,,,,0.1110735847579587
3-13,16.666666666666664,0.0,0.0,0.0,50.0,0.0,33.33333333333333,0.3812484443187713,0.949798583984375,21.466666666666665,0.1106235606491202
3-15,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.3002618650595347,0.7157434324423472,23.311111111111117,0.1107213217487446
Avg,23.958333333333332,1.0416666666666665,9.374999999999998,1.0416666666666665,39.58333333333333,2.083333333333333,22.91666666666666,0.4076887785146634,1.2459245353109307,23.114351851851854,0.1086826411046214
